Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
;;;;;;;;;8;50,00%;60
"Tic-Tac-Toe.lud";"lineLessOrEqualThanBoardSide";132;true;;Static;;;;;;
"Tic-Tac-Toe.lud";"eachPieceReferenceNotDuplicated";48;false;"The game does not have any piece declared as Each";Static;;;;;;
"Tic-Tac-Toe.lud";"pieceDeclaredAsShared";30;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Tic-Tac-Toe.lud";"pieceDeclaredAsEach";200;false;"The game does not have any piece declared as Each";Static;;;;;;
"Tic-Tac-Toe.lud";"pieceDeclaredAsNeutral";16;true;;Static;;;;;;
"Tic-Tac-Toe.lud";"AllPlayerDeclared";19;true;;Static;;;;;;
"Tic-Tac-Toe.lud";"equalNumberOfPiecesOnTheBoard";24;true;;Static;;;;;;
"Tic-Tac-Toe.lud";"sizeOfTrack";11;false;"Track concept is not present";Static;;;;;;
