Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Adugo_test_results";"lineLessOrEqualThanBoardSide";1148;false;"Line concept is not present";Static
"Adugo_test_results";"eachPieceReferenceNotDuplicated";76;false;"Piece ""Jaguar1"" is not declared with 'Each'";Static
"Adugo_test_results";"pieceDeclaredAsShared";74;false;"The game does not have any piece declared as Shared";Static
"Adugo_test_results";"pieceDeclaredAsEach";210;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Adugo_test_results";"pieceDeclaredAsNeutral";39;true;;Static
"Adugo_test_results";"equalNumberOfPiecesOnTheBoard";43;true;;Static
"Adugo_test_results";"AllPlayerDeclared";36;true;;Static
"Adugo_test_results";"sizeOfTrack";39;false;"Track concept is not present";Static
"Asalto_test_results";"lineLessOrEqualThanBoardSide";85;false;"Line concept is not present";Static
"Asalto_test_results";"eachPieceReferenceNotDuplicated";68;false;"Piece ""Marker1"" is not declared with 'Each'";Static
"Asalto_test_results";"pieceDeclaredAsShared";63;false;"The game does not have any piece declared as Shared";Static
"Asalto_test_results";"pieceDeclaredAsEach";136;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Asalto_test_results";"pieceDeclaredAsNeutral";63;true;;Static
"Asalto_test_results";"equalNumberOfPiecesOnTheBoard";60;true;;Static
"Asalto_test_results";"AllPlayerDeclared";61;true;;Static
"Asalto_test_results";"sizeOfTrack";58;false;"Track concept is not present";Static
"Bagh Bandi_test_results";"lineLessOrEqualThanBoardSide";82;false;"Line concept is not present";Static
"Bagh Bandi_test_results";"eachPieceReferenceNotDuplicated";54;false;"Piece ""Goat2"" is not declared with 'Each'";Static
"Bagh Bandi_test_results";"pieceDeclaredAsShared";56;false;"The game does not have any piece declared as Shared";Static
"Bagh Bandi_test_results";"pieceDeclaredAsEach";94;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Bagh Bandi_test_results";"pieceDeclaredAsNeutral";47;true;;Static
"Bagh Bandi_test_results";"equalNumberOfPiecesOnTheBoard";64;true;;Static
"Bagh Bandi_test_results";"AllPlayerDeclared";55;true;;Static
"Bagh Bandi_test_results";"sizeOfTrack";66;false;"Track concept is not present";Static
"Bagh Batti_test_results";"lineLessOrEqualThanBoardSide";68;false;"Line concept is not present";Static
"Bagh Batti_test_results";"eachPieceReferenceNotDuplicated";53;false;"Piece ""Goat1"" is not declared with 'Each'";Static
"Bagh Batti_test_results";"pieceDeclaredAsShared";43;false;"The game does not have any piece declared as Shared";Static
"Bagh Batti_test_results";"pieceDeclaredAsEach";83;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Bagh Batti_test_results";"pieceDeclaredAsNeutral";44;true;;Static
"Bagh Batti_test_results";"equalNumberOfPiecesOnTheBoard";41;true;;Static
"Bagh Batti_test_results";"AllPlayerDeclared";41;true;;Static
"Bagh Batti_test_results";"sizeOfTrack";36;false;"Track concept is not present";Static
"Bagh Guti_test_results";"lineLessOrEqualThanBoardSide";43;false;"Line concept is not present";Static
"Bagh Guti_test_results";"eachPieceReferenceNotDuplicated";40;false;"Piece ""Goat1"" is not declared with 'Each'";Static
"Bagh Guti_test_results";"pieceDeclaredAsShared";37;false;"The game does not have any piece declared as Shared";Static
"Bagh Guti_test_results";"pieceDeclaredAsEach";74;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Bagh Guti_test_results";"pieceDeclaredAsNeutral";38;true;;Static
"Bagh Guti_test_results";"equalNumberOfPiecesOnTheBoard";44;true;;Static
"Bagh Guti_test_results";"AllPlayerDeclared";42;true;;Static
"Bagh Guti_test_results";"sizeOfTrack";36;false;"Track concept is not present";Static
"Bagha Guti_test_results";"lineLessOrEqualThanBoardSide";21;false;"Line concept is not present";Static
"Bagha Guti_test_results";"eachPieceReferenceNotDuplicated";23;false;"Piece ""Goat2"" is not declared with 'Each'";Static
"Bagha Guti_test_results";"pieceDeclaredAsShared";24;false;"The game does not have any piece declared as Shared";Static
"Bagha Guti_test_results";"pieceDeclaredAsEach";55;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Bagha Guti_test_results";"pieceDeclaredAsNeutral";24;true;;Static
"Bagha Guti_test_results";"equalNumberOfPiecesOnTheBoard";26;true;;Static
"Bagha Guti_test_results";"AllPlayerDeclared";23;true;;Static
"Bagha Guti_test_results";"sizeOfTrack";24;false;"Track concept is not present";Static
"Baghchal_test_results";"lineLessOrEqualThanBoardSide";23;false;"Line concept is not present";Static
"Baghchal_test_results";"eachPieceReferenceNotDuplicated";23;false;"Piece ""Goat1"" is not declared with 'Each'";Static
"Baghchal_test_results";"pieceDeclaredAsShared";26;false;"The game does not have any piece declared as Shared";Static
"Baghchal_test_results";"pieceDeclaredAsEach";76;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Baghchal_test_results";"pieceDeclaredAsNeutral";27;true;;Static
"Baghchal_test_results";"equalNumberOfPiecesOnTheBoard";28;true;;Static
"Baghchal_test_results";"AllPlayerDeclared";27;true;;Static
"Baghchal_test_results";"sizeOfTrack";25;false;"Track concept is not present";Static
"Bam Blang Beh Khla_test_results";"lineLessOrEqualThanBoardSide";33;false;"Line concept is not present";Static
"Bam Blang Beh Khla_test_results";"eachPieceReferenceNotDuplicated";23;false;"Piece ""Tiger1"" is not declared with 'Each'";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsShared";22;false;"The game does not have any piece declared as Shared";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsEach";61;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsNeutral";22;true;;Static
"Bam Blang Beh Khla_test_results";"equalNumberOfPiecesOnTheBoard";22;true;;Static
"Bam Blang Beh Khla_test_results";"AllPlayerDeclared";19;true;;Static
"Bam Blang Beh Khla_test_results";"sizeOfTrack";20;false;"Track concept is not present";Static
"Bouge Shodra_test_results";"lineLessOrEqualThanBoardSide";28;false;"Line concept is not present";Static
"Bouge Shodra_test_results";"eachPieceReferenceNotDuplicated";35;false;"Piece ""Marker1"" is not declared with 'Each'";Static
"Bouge Shodra_test_results";"pieceDeclaredAsShared";31;false;"The game does not have any piece declared as Shared";Static
"Bouge Shodra_test_results";"pieceDeclaredAsEach";77;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Bouge Shodra_test_results";"pieceDeclaredAsNeutral";33;true;;Static
"Bouge Shodra_test_results";"equalNumberOfPiecesOnTheBoard";25;true;;Static
"Bouge Shodra_test_results";"AllPlayerDeclared";26;true;;Static
"Bouge Shodra_test_results";"sizeOfTrack";25;false;"Track concept is not present";Static
"Cercar La Liebre_test_results";"lineLessOrEqualThanBoardSide";22;false;"Line concept is not present";Static
"Cercar La Liebre_test_results";"eachPieceReferenceNotDuplicated";19;false;"Piece ""Counter1"" is not declared with 'Each'";Static
"Cercar La Liebre_test_results";"pieceDeclaredAsShared";20;false;"The game does not have any piece declared as Shared";Static
"Cercar La Liebre_test_results";"pieceDeclaredAsEach";59;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Cercar La Liebre_test_results";"pieceDeclaredAsNeutral";20;true;;Static
"Cercar La Liebre_test_results";"equalNumberOfPiecesOnTheBoard";20;true;;Static
"Cercar La Liebre_test_results";"AllPlayerDeclared";20;true;;Static
"Cercar La Liebre_test_results";"sizeOfTrack";21;false;"Track concept is not present";Static
"Coyote_test_results";"lineLessOrEqualThanBoardSide";17;false;"Line concept is not present";Static
"Coyote_test_results";"eachPieceReferenceNotDuplicated";16;false;"Piece ""Sheep1"" is not declared with 'Each'";Static
"Coyote_test_results";"pieceDeclaredAsShared";18;false;"The game does not have any piece declared as Shared";Static
"Coyote_test_results";"pieceDeclaredAsEach";49;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Coyote_test_results";"pieceDeclaredAsNeutral";17;true;;Static
"Coyote_test_results";"equalNumberOfPiecesOnTheBoard";19;true;;Static
"Coyote_test_results";"AllPlayerDeclared";17;true;;Static
"Coyote_test_results";"sizeOfTrack";19;false;"Track concept is not present";Static
"Demala Diviyan Keliya_test_results";"lineLessOrEqualThanBoardSide";16;false;"Line concept is not present";Static
"Demala Diviyan Keliya_test_results";"eachPieceReferenceNotDuplicated";18;false;"Piece ""Tiger1"" is not declared with 'Each'";Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsShared";15;false;"The game does not have any piece declared as Shared";Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsEach";52;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsNeutral";18;true;;Static
"Demala Diviyan Keliya_test_results";"equalNumberOfPiecesOnTheBoard";18;true;;Static
"Demala Diviyan Keliya_test_results";"AllPlayerDeclared";20;true;;Static
"Demala Diviyan Keliya_test_results";"sizeOfTrack";14;false;"Track concept is not present";Static
"Diviyan Keliya_test_results";"lineLessOrEqualThanBoardSide";28;false;"Line concept is not present";Static
"Diviyan Keliya_test_results";"eachPieceReferenceNotDuplicated";29;false;"Piece ""Leopard1"" is not declared with 'Each'";Static
"Diviyan Keliya_test_results";"pieceDeclaredAsShared";30;false;"The game does not have any piece declared as Shared";Static
"Diviyan Keliya_test_results";"pieceDeclaredAsEach";51;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Diviyan Keliya_test_results";"pieceDeclaredAsNeutral";19;true;;Static
"Diviyan Keliya_test_results";"equalNumberOfPiecesOnTheBoard";25;true;;Static
"Diviyan Keliya_test_results";"AllPlayerDeclared";22;true;;Static
"Diviyan Keliya_test_results";"sizeOfTrack";21;false;"Track concept is not present";Static
"El Cazador_test_results";"lineLessOrEqualThanBoardSide";19;false;"Line concept is not present";Static
"El Cazador_test_results";"eachPieceReferenceNotDuplicated";15;false;"Piece ""Human1"" is not declared with 'Each'";Static
"El Cazador_test_results";"pieceDeclaredAsShared";16;false;"The game does not have any piece declared as Shared";Static
"El Cazador_test_results";"pieceDeclaredAsEach";49;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"El Cazador_test_results";"pieceDeclaredAsNeutral";17;true;;Static
"El Cazador_test_results";"equalNumberOfPiecesOnTheBoard";18;true;;Static
