Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Adugo_test_results";"lineLessOrEqualThanBoardSide";1160;false;"Line concept is not present";Static
"Adugo_test_results";"eachPieceReferenceNotDuplicated";63;false;"The game does not have any piece declared as Each";Static
"Adugo_test_results";"pieceDeclaredAsShared";58;false;"The game does not have any piece declared as Shared";Static
"Adugo_test_results";"pieceDeclaredAsEach";130;false;"The game does not have any piece declared as Each";Static
"Adugo_test_results";"pieceDeclaredAsNeutral";45;true;;Static
"Adugo_test_results";"equalNumberOfPiecesOnTheBoard";46;true;;Static
"Adugo_test_results";"AllPlayerDeclared";35;true;;Static
"Adugo_test_results";"sizeOfTrack";43;false;"Track concept is not present";Static
"Asalto_test_results";"lineLessOrEqualThanBoardSide";95;false;"Line concept is not present";Static
"Asalto_test_results";"eachPieceReferenceNotDuplicated";64;false;"The game does not have any piece declared as Each";Static
"Asalto_test_results";"pieceDeclaredAsShared";55;false;"The game does not have any piece declared as Shared";Static
"Asalto_test_results";"pieceDeclaredAsEach";76;false;"The game does not have any piece declared as Each";Static
"Asalto_test_results";"pieceDeclaredAsNeutral";51;true;;Static
"Asalto_test_results";"equalNumberOfPiecesOnTheBoard";47;true;;Static
"Asalto_test_results";"AllPlayerDeclared";55;true;;Static
"Asalto_test_results";"sizeOfTrack";44;false;"Track concept is not present";Static
"Bagh Bandi_test_results";"lineLessOrEqualThanBoardSide";85;false;"Line concept is not present";Static
"Bagh Bandi_test_results";"eachPieceReferenceNotDuplicated";70;false;"The game does not have any piece declared as Each";Static
"Bagh Bandi_test_results";"pieceDeclaredAsShared";55;false;"The game does not have any piece declared as Shared";Static
"Bagh Bandi_test_results";"pieceDeclaredAsEach";71;false;"The game does not have any piece declared as Each";Static
"Bagh Bandi_test_results";"pieceDeclaredAsNeutral";59;true;;Static
"Bagh Bandi_test_results";"equalNumberOfPiecesOnTheBoard";68;true;;Static
"Bagh Bandi_test_results";"AllPlayerDeclared";51;true;;Static
"Bagh Bandi_test_results";"sizeOfTrack";61;false;"Track concept is not present";Static
"Bagh Batti_test_results";"lineLessOrEqualThanBoardSide";56;false;"Line concept is not present";Static
"Bagh Batti_test_results";"eachPieceReferenceNotDuplicated";47;false;"The game does not have any piece declared as Each";Static
"Bagh Batti_test_results";"pieceDeclaredAsShared";41;false;"The game does not have any piece declared as Shared";Static
"Bagh Batti_test_results";"pieceDeclaredAsEach";51;false;"The game does not have any piece declared as Each";Static
"Bagh Batti_test_results";"pieceDeclaredAsNeutral";42;true;;Static
"Bagh Batti_test_results";"equalNumberOfPiecesOnTheBoard";41;true;;Static
"Bagh Batti_test_results";"AllPlayerDeclared";41;true;;Static
"Bagh Batti_test_results";"sizeOfTrack";41;false;"Track concept is not present";Static
"Bagh Guti_test_results";"lineLessOrEqualThanBoardSide";43;false;"Line concept is not present";Static
"Bagh Guti_test_results";"eachPieceReferenceNotDuplicated";42;false;"The game does not have any piece declared as Each";Static
"Bagh Guti_test_results";"pieceDeclaredAsShared";45;false;"The game does not have any piece declared as Shared";Static
"Bagh Guti_test_results";"pieceDeclaredAsEach";51;false;"The game does not have any piece declared as Each";Static
"Bagh Guti_test_results";"pieceDeclaredAsNeutral";35;true;;Static
"Bagh Guti_test_results";"equalNumberOfPiecesOnTheBoard";42;true;;Static
"Bagh Guti_test_results";"AllPlayerDeclared";39;true;;Static
"Bagh Guti_test_results";"sizeOfTrack";35;false;"Track concept is not present";Static
"Bagha Guti_test_results";"lineLessOrEqualThanBoardSide";24;false;"Line concept is not present";Static
"Bagha Guti_test_results";"eachPieceReferenceNotDuplicated";25;false;"The game does not have any piece declared as Each";Static
"Bagha Guti_test_results";"pieceDeclaredAsShared";25;false;"The game does not have any piece declared as Shared";Static
"Bagha Guti_test_results";"pieceDeclaredAsEach";37;false;"The game does not have any piece declared as Each";Static
"Bagha Guti_test_results";"pieceDeclaredAsNeutral";23;true;;Static
"Bagha Guti_test_results";"equalNumberOfPiecesOnTheBoard";27;true;;Static
"Bagha Guti_test_results";"AllPlayerDeclared";21;true;;Static
"Bagha Guti_test_results";"sizeOfTrack";26;false;"Track concept is not present";Static
"Baghchal_test_results";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static
"Baghchal_test_results";"eachPieceReferenceNotDuplicated";22;false;"The game does not have any piece declared as Each";Static
"Baghchal_test_results";"pieceDeclaredAsShared";21;false;"The game does not have any piece declared as Shared";Static
"Baghchal_test_results";"pieceDeclaredAsEach";36;false;"The game does not have any piece declared as Each";Static
"Baghchal_test_results";"pieceDeclaredAsNeutral";22;true;;Static
"Baghchal_test_results";"equalNumberOfPiecesOnTheBoard";22;true;;Static
"Baghchal_test_results";"AllPlayerDeclared";22;true;;Static
"Baghchal_test_results";"sizeOfTrack";26;false;"Track concept is not present";Static
"Bam Blang Beh Khla_test_results";"lineLessOrEqualThanBoardSide";24;false;"Line concept is not present";Static
"Bam Blang Beh Khla_test_results";"eachPieceReferenceNotDuplicated";23;false;"The game does not have any piece declared as Each";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsShared";20;false;"The game does not have any piece declared as Shared";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsEach";34;false;"The game does not have any piece declared as Each";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsNeutral";20;true;;Static
"Bam Blang Beh Khla_test_results";"equalNumberOfPiecesOnTheBoard";21;true;;Static
"Bam Blang Beh Khla_test_results";"AllPlayerDeclared";19;true;;Static
"Bam Blang Beh Khla_test_results";"sizeOfTrack";23;false;"Track concept is not present";Static
"Bouge Shodra_test_results";"lineLessOrEqualThanBoardSide";34;false;"Line concept is not present";Static
"Bouge Shodra_test_results";"eachPieceReferenceNotDuplicated";33;false;"The game does not have any piece declared as Each";Static
"Bouge Shodra_test_results";"pieceDeclaredAsShared";32;false;"The game does not have any piece declared as Shared";Static
"Bouge Shodra_test_results";"pieceDeclaredAsEach";42;false;"The game does not have any piece declared as Each";Static
"Bouge Shodra_test_results";"pieceDeclaredAsNeutral";27;true;;Static
"Bouge Shodra_test_results";"equalNumberOfPiecesOnTheBoard";33;true;;Static
"Bouge Shodra_test_results";"AllPlayerDeclared";34;true;;Static
"Bouge Shodra_test_results";"sizeOfTrack";36;false;"Track concept is not present";Static
"Cercar La Liebre_test_results";"lineLessOrEqualThanBoardSide";27;false;"Line concept is not present";Static
"Cercar La Liebre_test_results";"eachPieceReferenceNotDuplicated";26;false;"The game does not have any piece declared as Each";Static
"Cercar La Liebre_test_results";"pieceDeclaredAsShared";21;false;"The game does not have any piece declared as Shared";Static
"Cercar La Liebre_test_results";"pieceDeclaredAsEach";37;false;"The game does not have any piece declared as Each";Static
"Cercar La Liebre_test_results";"pieceDeclaredAsNeutral";26;true;;Static
"Cercar La Liebre_test_results";"equalNumberOfPiecesOnTheBoard";27;true;;Static
"Cercar La Liebre_test_results";"AllPlayerDeclared";27;true;;Static
"Cercar La Liebre_test_results";"sizeOfTrack";26;false;"Track concept is not present";Static
"Coyote_test_results";"lineLessOrEqualThanBoardSide";24;false;"Line concept is not present";Static
