Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Adugo_test_results";"lineLessOrEqualThanBoardSide";1120;false;"Line concept is not present";Static
"Adugo_test_results";"pieceDeclaredAsEach";235;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Adugo_test_results";"pieceDeclaredAsShared";48;false;"The game does not have any piece declared as Shared";Static
"Adugo_test_results";"pieceDeclaredAsNeutral";49;true;;Static
"Adugo_test_results";"eachPieceReferenceNotDuplicated";38;false;"Piece ""Jaguar1"" is not declared with 'Each'";Static
"Adugo_test_results";"equalNumberOfPiecesOnTheBoard";40;true;;Static
"Adugo_test_results";"AllPlayerDeclared";40;true;;Static
"Adugo_test_results";"sizeOfTrack";41;false;"Track concept is not present";Static
"Asalto_test_results";"lineLessOrEqualThanBoardSide";81;false;"Line concept is not present";Static
"Asalto_test_results";"pieceDeclaredAsEach";120;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Asalto_test_results";"pieceDeclaredAsShared";58;false;"The game does not have any piece declared as Shared";Static
"Asalto_test_results";"pieceDeclaredAsNeutral";48;true;;Static
"Asalto_test_results";"eachPieceReferenceNotDuplicated";54;false;"Piece ""Marker1"" is not declared with 'Each'";Static
"Asalto_test_results";"equalNumberOfPiecesOnTheBoard";49;true;;Static
"Asalto_test_results";"AllPlayerDeclared";50;true;;Static
"Asalto_test_results";"sizeOfTrack";50;false;"Track concept is not present";Static
"Bagh Bandi_test_results";"lineLessOrEqualThanBoardSide";78;false;"Line concept is not present";Static
"Bagh Bandi_test_results";"pieceDeclaredAsEach";105;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Bagh Bandi_test_results";"pieceDeclaredAsShared";61;false;"The game does not have any piece declared as Shared";Static
"Bagh Bandi_test_results";"pieceDeclaredAsNeutral";61;true;;Static
"Bagh Bandi_test_results";"eachPieceReferenceNotDuplicated";54;false;"Piece ""Goat2"" is not declared with 'Each'";Static
"Bagh Bandi_test_results";"equalNumberOfPiecesOnTheBoard";61;true;;Static
"Bagh Bandi_test_results";"AllPlayerDeclared";50;true;;Static
"Bagh Bandi_test_results";"sizeOfTrack";53;false;"Track concept is not present";Static
"Bagh Batti_test_results";"lineLessOrEqualThanBoardSide";52;false;"Line concept is not present";Static
"Bagh Batti_test_results";"pieceDeclaredAsEach";84;false;"Piece ""Tiger"" is not declared with 'Each'";Static
"Bagh Batti_test_results";"pieceDeclaredAsShared";44;false;"The game does not have any piece declared as Shared";Static
"Bagh Batti_test_results";"pieceDeclaredAsNeutral";48;true;;Static
"Bagh Batti_test_results";"eachPieceReferenceNotDuplicated";40;false;"Piece ""Goat1"" is not declared with 'Each'";Static
"Bagh Batti_test_results";"equalNumberOfPiecesOnTheBoard";39;true;;Static
"Bagh Batti_test_results";"AllPlayerDeclared";34;true;;Static
"Bagh Batti_test_results";"sizeOfTrack";44;false;"Track concept is not present";Static
