Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Adugo_test_results";"lineLessOrEqualThanBoardSide";1111;false;"Line concept is not present";Static
"Adugo_test_results";"eachPieceReferenceNotDuplicated";65;true;;Static
"Adugo_test_results";"pieceDeclaredAsShared";59;false;"The game does not have any piece declared as Shared";Static
"Adugo_test_results";"pieceDeclaredAsNeutral";41;true;;Static
"Adugo_test_results";"pieceDeclaredAsEach";181;true;;Static
"Adugo_test_results";"equalNumberOfPiecesOnTheBoard";36;true;;Static
"Adugo_test_results";"AllPlayerDeclared";32;true;;Static
"Adugo_test_results";"sizeOfTrack";45;false;"Track concept is not present";Static
"Asalto_test_results";"lineLessOrEqualThanBoardSide";92;false;"Line concept is not present";Static
"Asalto_test_results";"eachPieceReferenceNotDuplicated";59;true;;Static
"Asalto_test_results";"pieceDeclaredAsShared";62;false;"The game does not have any piece declared as Shared";Static
"Asalto_test_results";"pieceDeclaredAsNeutral";54;true;;Static
"Asalto_test_results";"pieceDeclaredAsEach";117;true;;Static
"Asalto_test_results";"equalNumberOfPiecesOnTheBoard";55;true;;Static
"Asalto_test_results";"AllPlayerDeclared";53;true;;Static
"Asalto_test_results";"sizeOfTrack";49;false;"Track concept is not present";Static
"Bagh Bandi_test_results";"lineLessOrEqualThanBoardSide";91;false;"Line concept is not present";Static
"Bagh Bandi_test_results";"eachPieceReferenceNotDuplicated";52;false;"Ludeme Each for a Piece requires that the reference to Goat2 is not duplicated. Found 4 occurrences.";Static
"Bagh Bandi_test_results";"pieceDeclaredAsShared";58;false;"The game does not have any piece declared as Shared";Static
"Bagh Bandi_test_results";"pieceDeclaredAsNeutral";53;true;;Static
"Bagh Bandi_test_results";"pieceDeclaredAsEach";117;true;;Static
"Bagh Bandi_test_results";"equalNumberOfPiecesOnTheBoard";66;true;;Static
"Bagh Bandi_test_results";"AllPlayerDeclared";49;true;;Static
"Bagh Bandi_test_results";"sizeOfTrack";51;false;"Track concept is not present";Static
"Bagh Batti_test_results";"lineLessOrEqualThanBoardSide";51;false;"Line concept is not present";Static
"Bagh Batti_test_results";"eachPieceReferenceNotDuplicated";38;true;;Static
"Bagh Batti_test_results";"pieceDeclaredAsShared";38;false;"The game does not have any piece declared as Shared";Static
"Bagh Batti_test_results";"pieceDeclaredAsNeutral";34;true;;Static
"Bagh Batti_test_results";"pieceDeclaredAsEach";80;true;;Static
"Bagh Batti_test_results";"equalNumberOfPiecesOnTheBoard";38;true;;Static
"Bagh Batti_test_results";"AllPlayerDeclared";41;true;;Static
"Bagh Batti_test_results";"sizeOfTrack";36;false;"Track concept is not present";Static
"Bagh Guti_test_results";"lineLessOrEqualThanBoardSide";40;false;"Line concept is not present";Static
"Bagh Guti_test_results";"eachPieceReferenceNotDuplicated";36;true;;Static
"Bagh Guti_test_results";"pieceDeclaredAsShared";36;false;"The game does not have any piece declared as Shared";Static
"Bagh Guti_test_results";"pieceDeclaredAsNeutral";34;true;;Static
"Bagh Guti_test_results";"pieceDeclaredAsEach";73;true;;Static
"Bagh Guti_test_results";"equalNumberOfPiecesOnTheBoard";35;true;;Static
"Bagh Guti_test_results";"AllPlayerDeclared";32;true;;Static
"Bagh Guti_test_results";"sizeOfTrack";33;false;"Track concept is not present";Static
"Bagha Guti_test_results";"lineLessOrEqualThanBoardSide";22;false;"Line concept is not present";Static
"Bagha Guti_test_results";"eachPieceReferenceNotDuplicated";21;true;;Static
"Bagha Guti_test_results";"pieceDeclaredAsShared";27;false;"The game does not have any piece declared as Shared";Static
"Bagha Guti_test_results";"pieceDeclaredAsNeutral";23;true;;Static
"Bagha Guti_test_results";"pieceDeclaredAsEach";58;true;;Static
"Bagha Guti_test_results";"equalNumberOfPiecesOnTheBoard";28;true;;Static
"Bagha Guti_test_results";"AllPlayerDeclared";27;true;;Static
"Bagha Guti_test_results";"sizeOfTrack";27;false;"Track concept is not present";Static
"Baghchal_test_results";"lineLessOrEqualThanBoardSide";22;false;"Line concept is not present";Static
"Baghchal_test_results";"eachPieceReferenceNotDuplicated";18;true;;Static
"Baghchal_test_results";"pieceDeclaredAsShared";19;false;"The game does not have any piece declared as Shared";Static
"Baghchal_test_results";"pieceDeclaredAsNeutral";19;true;;Static
"Baghchal_test_results";"pieceDeclaredAsEach";59;true;;Static
"Baghchal_test_results";"equalNumberOfPiecesOnTheBoard";21;true;;Static
"Baghchal_test_results";"AllPlayerDeclared";19;true;;Static
"Baghchal_test_results";"sizeOfTrack";21;false;"Track concept is not present";Static
"Bam Blang Beh Khla_test_results";"lineLessOrEqualThanBoardSide";21;false;"Line concept is not present";Static
"Bam Blang Beh Khla_test_results";"eachPieceReferenceNotDuplicated";15;true;;Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsShared";16;false;"The game does not have any piece declared as Shared";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsNeutral";15;true;;Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsEach";50;true;;Static
"Bam Blang Beh Khla_test_results";"equalNumberOfPiecesOnTheBoard";15;true;;Static
"Bam Blang Beh Khla_test_results";"AllPlayerDeclared";13;true;;Static
"Bam Blang Beh Khla_test_results";"sizeOfTrack";15;false;"Track concept is not present";Static
"Bouge Shodra_test_results";"lineLessOrEqualThanBoardSide";27;false;"Line concept is not present";Static
"Bouge Shodra_test_results";"eachPieceReferenceNotDuplicated";26;false;"Ludeme Each for a Piece requires that the reference to Marker1 is not duplicated. Found 2 occurrences.";Static
"Bouge Shodra_test_results";"pieceDeclaredAsShared";26;false;"The game does not have any piece declared as Shared";Static
"Bouge Shodra_test_results";"pieceDeclaredAsNeutral";24;true;;Static
"Bouge Shodra_test_results";"pieceDeclaredAsEach";59;true;;Static
"Bouge Shodra_test_results";"equalNumberOfPiecesOnTheBoard";25;true;;Static
"Bouge Shodra_test_results";"AllPlayerDeclared";23;true;;Static
"Bouge Shodra_test_results";"sizeOfTrack";28;false;"Track concept is not present";Static
"Cercar La Liebre_test_results";"lineLessOrEqualThanBoardSide";21;false;"Line concept is not present";Static
"Cercar La Liebre_test_results";"eachPieceReferenceNotDuplicated";17;true;;Static
"Cercar La Liebre_test_results";"pieceDeclaredAsShared";21;false;"The game does not have any piece declared as Shared";Static
"Cercar La Liebre_test_results";"pieceDeclaredAsNeutral";19;true;;Static
"Cercar La Liebre_test_results";"pieceDeclaredAsEach";53;true;;Static
"Cercar La Liebre_test_results";"equalNumberOfPiecesOnTheBoard";23;true;;Static
"Cercar La Liebre_test_results";"AllPlayerDeclared";32;true;;Static
"Cercar La Liebre_test_results";"sizeOfTrack";19;false;"Track concept is not present";Static
"Coyote_test_results";"lineLessOrEqualThanBoardSide";19;false;"Line concept is not present";Static
"Coyote_test_results";"eachPieceReferenceNotDuplicated";29;true;;Static
"Coyote_test_results";"pieceDeclaredAsShared";15;false;"The game does not have any piece declared as Shared";Static
"Coyote_test_results";"pieceDeclaredAsNeutral";17;true;;Static
"Coyote_test_results";"pieceDeclaredAsEach";56;true;;Static
"Coyote_test_results";"equalNumberOfPiecesOnTheBoard";17;true;;Static
"Coyote_test_results";"AllPlayerDeclared";17;true;;Static
"Coyote_test_results";"sizeOfTrack";17;false;"Track concept is not present";Static
"Demala Diviyan Keliya_test_results";"lineLessOrEqualThanBoardSide";17;false;"Line concept is not present";Static
"Demala Diviyan Keliya_test_results";"eachPieceReferenceNotDuplicated";18;true;;Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsShared";19;false;"The game does not have any piece declared as Shared";Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsNeutral";15;true;;Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsEach";57;true;;Static
"Demala Diviyan Keliya_test_results";"equalNumberOfPiecesOnTheBoard";17;true;;Static
"Demala Diviyan Keliya_test_results";"AllPlayerDeclared";16;true;;Static
