Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Adugo_test_results";"lineLessOrEqualThanBoardSide";1132;false;"Line concept is not present";Static
"Adugo_test_results";"eachPieceReferenceNotDuplicated";77;true;;Static
"Adugo_test_results";"pieceDeclaredAsShared";69;false;"The game does not have any piece declared as Shared";Static
"Adugo_test_results";"pieceDeclaredAsNeutral";43;true;;Static
"Adugo_test_results";"pieceDeclaredAsEach";197;true;;Static
"Adugo_test_results";"equalNumberOfPiecesOnTheBoard";37;true;;Static
"Adugo_test_results";"AllPlayerDeclared";36;true;;Static
"Adugo_test_results";"sizeOfTrack";42;false;"Track concept is not present";Static
"Asalto_test_results";"lineLessOrEqualThanBoardSide";90;false;"Line concept is not present";Static
"Asalto_test_results";"eachPieceReferenceNotDuplicated";67;true;;Static
"Asalto_test_results";"pieceDeclaredAsShared";66;false;"The game does not have any piece declared as Shared";Static
"Asalto_test_results";"pieceDeclaredAsNeutral";54;true;;Static
"Asalto_test_results";"pieceDeclaredAsEach";116;true;;Static
"Asalto_test_results";"equalNumberOfPiecesOnTheBoard";55;true;;Static
"Asalto_test_results";"AllPlayerDeclared";53;true;;Static
"Asalto_test_results";"sizeOfTrack";51;false;"Track concept is not present";Static
"Bagh Bandi_test_results";"lineLessOrEqualThanBoardSide";84;false;"Line concept is not present";Static
"Bagh Bandi_test_results";"eachPieceReferenceNotDuplicated";60;false;"Ludeme Each for a Piece requires that the reference to Goat2 is not duplicated. Found 4 occurrences.";Static
"Bagh Bandi_test_results";"pieceDeclaredAsShared";58;false;"The game does not have any piece declared as Shared";Static
"Bagh Bandi_test_results";"pieceDeclaredAsNeutral";51;true;;Static
"Bagh Bandi_test_results";"pieceDeclaredAsEach";121;true;;Static
"Bagh Bandi_test_results";"equalNumberOfPiecesOnTheBoard";60;true;;Static
"Bagh Bandi_test_results";"AllPlayerDeclared";52;true;;Static
"Bagh Bandi_test_results";"sizeOfTrack";59;false;"Track concept is not present";Static
"Bagh Batti_test_results";"lineLessOrEqualThanBoardSide";54;false;"Line concept is not present";Static
"Bagh Batti_test_results";"eachPieceReferenceNotDuplicated";49;true;;Static
"Bagh Batti_test_results";"pieceDeclaredAsShared";48;false;"The game does not have any piece declared as Shared";Static
"Bagh Batti_test_results";"pieceDeclaredAsNeutral";49;true;;Static
"Bagh Batti_test_results";"pieceDeclaredAsEach";89;true;;Static
"Bagh Batti_test_results";"equalNumberOfPiecesOnTheBoard";47;true;;Static
"Bagh Batti_test_results";"AllPlayerDeclared";47;true;;Static
"Bagh Batti_test_results";"sizeOfTrack";46;false;"Track concept is not present";Static
"Bagh Guti_test_results";"lineLessOrEqualThanBoardSide";45;false;"Line concept is not present";Static
"Bagh Guti_test_results";"eachPieceReferenceNotDuplicated";42;true;;Static
"Bagh Guti_test_results";"pieceDeclaredAsShared";37;false;"The game does not have any piece declared as Shared";Static
"Bagh Guti_test_results";"pieceDeclaredAsNeutral";40;true;;Static
"Bagh Guti_test_results";"pieceDeclaredAsEach";77;true;;Static
"Bagh Guti_test_results";"equalNumberOfPiecesOnTheBoard";39;true;;Static
"Bagh Guti_test_results";"AllPlayerDeclared";41;true;;Static
"Bagh Guti_test_results";"sizeOfTrack";34;false;"Track concept is not present";Static
