Game,Test Name,Duration (ms),Passed,Failure Message,Type
"Bouge Shodra_test_results";"pieceDeclaredAsEach";69;true;;Static
"Bouge Shodra_test_results";"pieceDeclaredAsShared";30;false;"The game does not have any piece declared as Shared";Static
"Bouge Shodra_test_results";"eachPieceReferenceNotDuplicated";30;false;"Ludeme Each for a Piece requires that the reference to Marker1 is not duplicated. Found 2 occurrences.";Static
"Bouge Shodra_test_results";"equalNumberOfPiecesOnTheBoard";31;false;"There are no pieces on the board";Static
"Bouge Shodra_test_results";"playerNotDeclared";31;true;;Static
"Bouge Shodra_test_results";"sizeOfTrack";33;false;"Track concept is not present";Static
"Cercar La Liebre_test_results";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static
"Cercar La Liebre_test_results";"pieceDeclaredAsNeutral";22;true;;Static
"Cercar La Liebre_test_results";"pieceDeclaredAsEach";60;true;;Static
"Cercar La Liebre_test_results";"pieceDeclaredAsShared";22;false;"The game does not have any piece declared as Shared";Static
"Cercar La Liebre_test_results";"eachPieceReferenceNotDuplicated";22;true;;Static
"Cercar La Liebre_test_results";"equalNumberOfPiecesOnTheBoard";23;false;"There are no pieces on the board";Static
"Cercar La Liebre_test_results";"playerNotDeclared";23;true;;Static
"Cercar La Liebre_test_results";"sizeOfTrack";25;false;"Track concept is not present";Static
"Coyote_test_results";"lineLessOrEqualThanBoardSide";20;false;"Line concept is not present";Static
"Coyote_test_results";"pieceDeclaredAsNeutral";19;true;;Static
"Coyote_test_results";"pieceDeclaredAsEach";57;true;;Static
"Coyote_test_results";"pieceDeclaredAsShared";23;false;"The game does not have any piece declared as Shared";Static
"Coyote_test_results";"eachPieceReferenceNotDuplicated";21;true;;Static
"Coyote_test_results";"equalNumberOfPiecesOnTheBoard";21;false;"There are no pieces on the board";Static
"Coyote_test_results";"playerNotDeclared";21;true;;Static
"Coyote_test_results";"sizeOfTrack";19;false;"Track concept is not present";Static
"Demala Diviyan Keliya_test_results";"lineLessOrEqualThanBoardSide";24;false;"Line concept is not present";Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsNeutral";24;true;;Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsEach";63;true;;Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsShared";20;false;"The game does not have any piece declared as Shared";Static
"Demala Diviyan Keliya_test_results";"eachPieceReferenceNotDuplicated";20;true;;Static
"Demala Diviyan Keliya_test_results";"equalNumberOfPiecesOnTheBoard";22;false;"There are no pieces on the board";Static
"Demala Diviyan Keliya_test_results";"playerNotDeclared";20;true;;Static
"Demala Diviyan Keliya_test_results";"sizeOfTrack";22;false;"Track concept is not present";Static
"Diviyan Keliya_test_results";"lineLessOrEqualThanBoardSide";31;false;"Line concept is not present";Static
"Diviyan Keliya_test_results";"pieceDeclaredAsNeutral";32;true;;Static
"Diviyan Keliya_test_results";"pieceDeclaredAsEach";62;true;;Static
"Diviyan Keliya_test_results";"pieceDeclaredAsShared";29;false;"The game does not have any piece declared as Shared";Static
"Diviyan Keliya_test_results";"eachPieceReferenceNotDuplicated";28;true;;Static
"Diviyan Keliya_test_results";"equalNumberOfPiecesOnTheBoard";26;false;"There are no pieces on the board";Static
"Diviyan Keliya_test_results";"playerNotDeclared";28;true;;Static
"Diviyan Keliya_test_results";"sizeOfTrack";29;false;"Track concept is not present";Static
"El Cazador_test_results";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static
"El Cazador_test_results";"pieceDeclaredAsNeutral";24;true;;Static
"El Cazador_test_results";"pieceDeclaredAsEach";54;true;;Static
"El Cazador_test_results";"pieceDeclaredAsShared";23;false;"The game does not have any piece declared as Shared";Static
"El Cazador_test_results";"eachPieceReferenceNotDuplicated";20;true;;Static
"El Cazador_test_results";"equalNumberOfPiecesOnTheBoard";22;false;"There are no pieces on the board";Static
"El Cazador_test_results";"playerNotDeclared";19;true;;Static
"El Cazador_test_results";"sizeOfTrack";18;false;"Track concept is not present";Static
"El Perro_test_results";"lineLessOrEqualThanBoardSide";45;false;"Line concept is not present";Static
"El Perro_test_results";"pieceDeclaredAsNeutral";48;true;;Static
"El Perro_test_results";"pieceDeclaredAsEach";73;true;;Static
"El Perro_test_results";"pieceDeclaredAsShared";39;false;"The game does not have any piece declared as Shared";Static
"El Perro_test_results";"eachPieceReferenceNotDuplicated";39;true;;Static
"El Perro_test_results";"equalNumberOfPiecesOnTheBoard";39;false;"There are no pieces on the board";Static
"El Perro_test_results";"playerNotDeclared";42;true;;Static
"El Perro_test_results";"sizeOfTrack";37;false;"Track concept is not present";Static
"El Zorro_test_results";"lineLessOrEqualThanBoardSide";29;false;"Line concept is not present";Static
"El Zorro_test_results";"pieceDeclaredAsNeutral";28;true;;Static
"El Zorro_test_results";"pieceDeclaredAsEach";61;true;;Static
"El Zorro_test_results";"pieceDeclaredAsShared";28;false;"The game does not have any piece declared as Shared";Static
"El Zorro_test_results";"eachPieceReferenceNotDuplicated";27;true;;Static
"El Zorro_test_results";"equalNumberOfPiecesOnTheBoard";29;false;"There are no pieces on the board";Static
"El Zorro_test_results";"playerNotDeclared";27;true;;Static
