Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
"Bouge Shodra";"eachPieceReferenceNotDuplicated";32;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bouge Shodra";"AllPlayerDeclared";35;true;;Static;;;;;;
"Bouge Shodra";"equalNumberOfPiecesOnTheBoard";36;true;;Static;;;;;;
"Bouge Shodra";"sizeOfTrack";36;false;"Track concept is not present";Static;;;;;;
"Cercar La Liebre";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static;;;;;;
"Cercar La Liebre";"pieceDeclaredAsEach";70;false;"The game does not have any piece declared as Each";Static;;;;;;
"Cercar La Liebre";"pieceDeclaredAsNeutral";28;true;;Static;;;;;;
"Cercar La Liebre";"pieceDeclaredAsShared";28;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Cercar La Liebre";"eachPieceReferenceNotDuplicated";33;false;"The game does not have any piece declared as Each";Static;;;;;;
"Cercar La Liebre";"AllPlayerDeclared";27;true;;Static;;;;;;
"Cercar La Liebre";"equalNumberOfPiecesOnTheBoard";29;true;;Static;;;;;;
"Cercar La Liebre";"sizeOfTrack";57;false;"Track concept is not present";Static;;;;;;
"Coyote";"lineLessOrEqualThanBoardSide";29;false;"Line concept is not present";Static;;;;;;
"Coyote";"pieceDeclaredAsEach";73;false;"The game does not have any piece declared as Each";Static;;;;;;
"Coyote";"pieceDeclaredAsNeutral";27;true;;Static;;;;;;
"Coyote";"pieceDeclaredAsShared";23;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Coyote";"eachPieceReferenceNotDuplicated";25;false;"The game does not have any piece declared as Each";Static;;;;;;
"Coyote";"AllPlayerDeclared";22;true;;Static;;;;;;
"Coyote";"equalNumberOfPiecesOnTheBoard";25;true;;Static;;;;;;
"Coyote";"sizeOfTrack";24;false;"Track concept is not present";Static;;;;;;
"Demala Diviyan Keliya";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static;;;;;;
"Demala Diviyan Keliya";"pieceDeclaredAsEach";81;false;"The game does not have any piece declared as Each";Static;;;;;;
"Demala Diviyan Keliya";"pieceDeclaredAsNeutral";25;true;;Static;;;;;;
"Demala Diviyan Keliya";"pieceDeclaredAsShared";32;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Demala Diviyan Keliya";"eachPieceReferenceNotDuplicated";37;false;"The game does not have any piece declared as Each";Static;;;;;;
"Demala Diviyan Keliya";"AllPlayerDeclared";29;true;;Static;;;;;;
"Demala Diviyan Keliya";"equalNumberOfPiecesOnTheBoard";27;true;;Static;;;;;;
"Demala Diviyan Keliya";"sizeOfTrack";25;false;"Track concept is not present";Static;;;;;;
"Diviyan Keliya";"lineLessOrEqualThanBoardSide";34;false;"Line concept is not present";Static;;;;;;
"Diviyan Keliya";"pieceDeclaredAsEach";82;false;"The game does not have any piece declared as Each";Static;;;;;;
"Diviyan Keliya";"pieceDeclaredAsNeutral";36;true;;Static;;;;;;
"Diviyan Keliya";"pieceDeclaredAsShared";33;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Diviyan Keliya";"eachPieceReferenceNotDuplicated";31;false;"The game does not have any piece declared as Each";Static;;;;;;
"Diviyan Keliya";"AllPlayerDeclared";38;true;;Static;;;;;;
"Diviyan Keliya";"equalNumberOfPiecesOnTheBoard";39;true;;Static;;;;;;
"Diviyan Keliya";"sizeOfTrack";32;false;"Track concept is not present";Static;;;;;;
"El Cazador";"lineLessOrEqualThanBoardSide";27;false;"Line concept is not present";Static;;;;;;
"El Cazador";"pieceDeclaredAsEach";77;false;"The game does not have any piece declared as Each";Static;;;;;;
"El Cazador";"pieceDeclaredAsNeutral";29;true;;Static;;;;;;
"El Cazador";"pieceDeclaredAsShared";23;false;"The game does not have any piece declared as Shared";Static;;;;;;
"El Cazador";"eachPieceReferenceNotDuplicated";22;false;"The game does not have any piece declared as Each";Static;;;;;;
"El Cazador";"AllPlayerDeclared";24;true;;Static;;;;;;
"El Cazador";"equalNumberOfPiecesOnTheBoard";29;true;;Static;;;;;;
"El Cazador";"sizeOfTrack";24;false;"Track concept is not present";Static;;;;;;
"El Perro";"lineLessOrEqualThanBoardSide";54;false;"Line concept is not present";Static;;;;;;
"El Perro";"pieceDeclaredAsEach";116;false;"The game does not have any piece declared as Each";Static;;;;;;
"El Perro";"pieceDeclaredAsNeutral";59;true;;Static;;;;;;
"El Perro";"pieceDeclaredAsShared";59;false;"The game does not have any piece declared as Shared";Static;;;;;;
"El Perro";"eachPieceReferenceNotDuplicated";65;false;"The game does not have any piece declared as Each";Static;;;;;;
"El Perro";"AllPlayerDeclared";65;true;;Static;;;;;;
"El Perro";"equalNumberOfPiecesOnTheBoard";62;true;;Static;;;;;;
"El Perro";"sizeOfTrack";67;false;"Track concept is not present";Static;;;;;;
"El Zorro";"lineLessOrEqualThanBoardSide";44;false;"Line concept is not present";Static;;;;;;
"El Zorro";"pieceDeclaredAsEach";101;false;"The game does not have any piece declared as Each";Static;;;;;;
"El Zorro";"pieceDeclaredAsNeutral";46;true;;Static;;;;;;
"El Zorro";"pieceDeclaredAsShared";44;false;"The game does not have any piece declared as Shared";Static;;;;;;
"El Zorro";"eachPieceReferenceNotDuplicated";53;false;"The game does not have any piece declared as Each";Static;;;;;;
"El Zorro";"AllPlayerDeclared";40;true;;Static;;;;;;
"El Zorro";"equalNumberOfPiecesOnTheBoard";43;true;;Static;;;;;;
"El Zorro";"sizeOfTrack";49;false;"Track concept is not present";Static;;;;;;
"Fox and Geese";"lineLessOrEqualThanBoardSide";46;false;"Line concept is not present";Static;;;;;;
"Fox and Geese";"pieceDeclaredAsEach";103;false;"The game does not have any piece declared as Each";Static;;;;;;
"Fox and Geese";"pieceDeclaredAsNeutral";46;true;;Static;;;;;;
"Fox and Geese";"pieceDeclaredAsShared";39;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Fox and Geese";"eachPieceReferenceNotDuplicated";42;false;"The game does not have any piece declared as Each";Static;;;;;;
"Fox and Geese";"AllPlayerDeclared";44;true;;Static;;;;;;
"Fox and Geese";"equalNumberOfPiecesOnTheBoard";43;true;;Static;;;;;;
"Fox and Geese";"sizeOfTrack";42;false;"Track concept is not present";Static;;;;;;
"Gala (Buginese)";"lineLessOrEqualThanBoardSide";50;false;"Line concept is not present";Static;;;;;;
"Gala (Buginese)";"pieceDeclaredAsEach";110;true;;Static;;;;;;
"Gala (Buginese)";"pieceDeclaredAsNeutral";47;true;;Static;;;;;;
"Gala (Buginese)";"pieceDeclaredAsShared";49;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Gala (Buginese)";"eachPieceReferenceNotDuplicated";50;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gala (Buginese)";"AllPlayerDeclared";48;true;;Static;;;;;;
"Gala (Buginese)";"equalNumberOfPiecesOnTheBoard";36;true;;Static;;;;;;
"Gala (Buginese)";"sizeOfTrack";51;false;"Track concept is not present";Static;;;;;;
"Gala";"lineLessOrEqualThanBoardSide";33;false;"Line concept is not present";Static;;;;;;
"Gala";"pieceDeclaredAsEach";88;true;;Static;;;;;;
"Gala";"pieceDeclaredAsNeutral";36;true;;Static;;;;;;
"Gala";"pieceDeclaredAsShared";35;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Gala";"eachPieceReferenceNotDuplicated";31;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gala";"AllPlayerDeclared";34;true;;Static;;;;;;
"Gala";"equalNumberOfPiecesOnTheBoard";31;false;"Players do not have the same number of pieces";Static;;;;;;
"Gala";"sizeOfTrack";33;false;"Track concept is not present";Static;;;;;;
"Gasetavl (Gedved)";"lineLessOrEqualThanBoardSide";44;false;"Line concept is not present";Static;;;;;;
"Gasetavl (Gedved)";"pieceDeclaredAsEach";83;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gasetavl (Gedved)";"pieceDeclaredAsNeutral";29;true;;Static;;;;;;
"Gasetavl (Gedved)";"pieceDeclaredAsShared";28;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Gasetavl (Gedved)";"eachPieceReferenceNotDuplicated";24;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gasetavl (Gedved)";"AllPlayerDeclared";27;true;;Static;;;;;;
"Gasetavl (Gedved)";"equalNumberOfPiecesOnTheBoard";26;true;;Static;;;;;;
"Gasetavl (Gedved)";"sizeOfTrack";31;false;"Track concept is not present";Static;;;;;;
"Gasetavl";"lineLessOrEqualThanBoardSide";44;false;"Line concept is not present";Static;;;;;;
"Gasetavl";"pieceDeclaredAsEach";84;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gasetavl";"pieceDeclaredAsNeutral";41;true;;Static;;;;;;
"Gasetavl";"pieceDeclaredAsShared";46;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Gasetavl";"eachPieceReferenceNotDuplicated";43;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gasetavl";"AllPlayerDeclared";45;true;;Static;;;;;;
"Gasetavl";"equalNumberOfPiecesOnTheBoard";50;true;;Static;;;;;;
"Gasetavl";"sizeOfTrack";46;false;"Track concept is not present";Static;;;;;;
"Gioco dell'Orso";"lineLessOrEqualThanBoardSide";59;false;"Line concept is not present";Static;;;;;;
"Gioco dell'Orso";"pieceDeclaredAsEach";178;true;;Static;;;;;;
"Gioco dell'Orso";"pieceDeclaredAsNeutral";42;true;;Static;;;;;;
"Gioco dell'Orso";"pieceDeclaredAsShared";45;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Gioco dell'Orso";"eachPieceReferenceNotDuplicated";44;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gioco dell'Orso";"AllPlayerDeclared";54;true;;Static;;;;;;
"Gioco dell'Orso";"equalNumberOfPiecesOnTheBoard";56;true;;Static;;;;;;
"Gioco dell'Orso";"sizeOfTrack";47;false;"Track concept is not present";Static;;;;;;
"Go with the Floe";"lineLessOrEqualThanBoardSide";75;false;"Line concept is not present";Static;;;;;;
"Go with the Floe";"pieceDeclaredAsEach";187;false;"The game does not have any piece declared as Each";Static;;;;;;
"Go with the Floe";"pieceDeclaredAsNeutral";32;true;;Static;;;;;;
"Go with the Floe";"pieceDeclaredAsShared";35;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Go with the Floe";"eachPieceReferenceNotDuplicated";37;false;"The game does not have any piece declared as Each";Static;;;;;;
"Go with the Floe";"AllPlayerDeclared";32;true;;Static;;;;;;
"Go with the Floe";"equalNumberOfPiecesOnTheBoard";30;true;;Static;;;;;;
"Go with the Floe";"sizeOfTrack";34;false;"Track concept is not present";Static;;;;;;
"Haretavl";"lineLessOrEqualThanBoardSide";17;false;"Line concept is not present";Static;;;;;;
"Haretavl";"pieceDeclaredAsEach";72;false;"The game does not have any piece declared as Each";Static;;;;;;
"Haretavl";"pieceDeclaredAsNeutral";17;true;;Static;;;;;;
"Haretavl";"pieceDeclaredAsShared";16;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Haretavl";"eachPieceReferenceNotDuplicated";16;false;"The game does not have any piece declared as Each";Static;;;;;;
"Haretavl";"AllPlayerDeclared";15;true;;Static;;;;;;
"Haretavl";"equalNumberOfPiecesOnTheBoard";18;true;;Static;;;;;;
"Haretavl";"sizeOfTrack";17;false;"Track concept is not present";Static;;;;;;
"Hat Diviyan Keliya";"lineLessOrEqualThanBoardSide";12;false;"Line concept is not present";Static;;;;;;
"Hat Diviyan Keliya";"pieceDeclaredAsEach";71;false;"The game does not have any piece declared as Each";Static;;;;;;
