Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Adugo_test_results";"lineLessOrEqualThanBoardSide";1158;false;"Line concept is not present";Static
"Adugo_test_results";"pieceDeclaredAsEach";216;true;;Static
"Adugo_test_results";"pieceDeclaredAsNeutral";38;true;;Static
"Adugo_test_results";"pieceDeclaredAsShared";37;false;"The game does not have any piece declared as Shared";Static
"Adugo_test_results";"eachPieceReferenceNotDuplicated";35;true;;Static
"Adugo_test_results";"playerNotDeclared";31;true;;Static
"Adugo_test_results";"equalNumberOfPiecesOnTheBoard";34;false;"There are no pieces on the board";Static
"Adugo_test_results";"sizeOfTrack";38;false;"Track concept is not present";Static
"Asalto_test_results";"lineLessOrEqualThanBoardSide";80;false;"Line concept is not present";Static
"Asalto_test_results";"pieceDeclaredAsEach";118;true;;Static
"Asalto_test_results";"pieceDeclaredAsNeutral";62;true;;Static
"Asalto_test_results";"pieceDeclaredAsShared";48;false;"The game does not have any piece declared as Shared";Static
"Asalto_test_results";"eachPieceReferenceNotDuplicated";52;true;;Static
"Asalto_test_results";"playerNotDeclared";44;true;;Static
"Asalto_test_results";"equalNumberOfPiecesOnTheBoard";44;false;"There are no pieces on the board";Static
"Asalto_test_results";"sizeOfTrack";49;false;"Track concept is not present";Static
"Bagh Bandi_test_results";"lineLessOrEqualThanBoardSide";89;false;"Line concept is not present";Static
"Bagh Bandi_test_results";"pieceDeclaredAsEach";112;true;;Static
"Bagh Bandi_test_results";"pieceDeclaredAsNeutral";59;true;;Static
"Bagh Bandi_test_results";"pieceDeclaredAsShared";57;false;"The game does not have any piece declared as Shared";Static
"Bagh Bandi_test_results";"eachPieceReferenceNotDuplicated";60;false;"Ludeme Each for a Piece requires that the reference to Goat2 is not duplicated. Found 4 occurrences.";Static
"Bagh Bandi_test_results";"playerNotDeclared";53;true;;Static
"Bagh Bandi_test_results";"equalNumberOfPiecesOnTheBoard";50;false;"There are no pieces on the board";Static
"Bagh Bandi_test_results";"sizeOfTrack";54;false;"Track concept is not present";Static
"Bagh Batti_test_results";"lineLessOrEqualThanBoardSide";51;false;"Line concept is not present";Static
"Bagh Batti_test_results";"pieceDeclaredAsEach";93;true;;Static
"Bagh Batti_test_results";"pieceDeclaredAsNeutral";48;true;;Static
"Bagh Batti_test_results";"pieceDeclaredAsShared";42;false;"The game does not have any piece declared as Shared";Static
"Bagh Batti_test_results";"eachPieceReferenceNotDuplicated";45;true;;Static
"Bagh Batti_test_results";"playerNotDeclared";39;true;;Static
