Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Bouge Shodra_test_results";"pieceDeclaredAsShared";23;false;"The game does not have any piece declared as Shared";Static
"Bouge Shodra_test_results";"pieceDeclaredAsNeutral";23;true;;Static
"Bouge Shodra_test_results";"playerNotDeclared";25;true;;Static
"Bouge Shodra_test_results";"equalNumberOfPiecesOnTheBoard";112;true;;Static
"Bouge Shodra_test_results";"sizeOfTrack";26;false;"Track concept is not present";Static
"Cercar La Liebre_test_results";"lineLessOrEqualThanBoardSide";18;false;"Line concept is not present";Static
"Cercar La Liebre_test_results";"eachPieceReferenceNotDuplicated";23;true;;Static
"Cercar La Liebre_test_results";"pieceDeclaredAsEach";52;true;;Static
"Cercar La Liebre_test_results";"pieceDeclaredAsShared";20;false;"The game does not have any piece declared as Shared";Static
"Cercar La Liebre_test_results";"pieceDeclaredAsNeutral";18;true;;Static
"Cercar La Liebre_test_results";"playerNotDeclared";18;true;;Static
"Cercar La Liebre_test_results";"equalNumberOfPiecesOnTheBoard";91;true;;Static
"Cercar La Liebre_test_results";"sizeOfTrack";24;false;"Track concept is not present";Static
"Coyote_test_results";"lineLessOrEqualThanBoardSide";15;false;"Line concept is not present";Static
"Coyote_test_results";"eachPieceReferenceNotDuplicated";18;true;;Static
"Coyote_test_results";"pieceDeclaredAsEach";57;true;;Static
"Coyote_test_results";"pieceDeclaredAsShared";15;false;"The game does not have any piece declared as Shared";Static
"Coyote_test_results";"pieceDeclaredAsNeutral";12;true;;Static
"Coyote_test_results";"playerNotDeclared";14;true;;Static
"Coyote_test_results";"equalNumberOfPiecesOnTheBoard";89;true;;Static
"Coyote_test_results";"sizeOfTrack";17;false;"Track concept is not present";Static
"Demala Diviyan Keliya_test_results";"lineLessOrEqualThanBoardSide";21;false;"Line concept is not present";Static
"Demala Diviyan Keliya_test_results";"eachPieceReferenceNotDuplicated";16;true;;Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsEach";50;true;;Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsShared";14;false;"The game does not have any piece declared as Shared";Static
"Demala Diviyan Keliya_test_results";"pieceDeclaredAsNeutral";14;true;;Static
"Demala Diviyan Keliya_test_results";"playerNotDeclared";12;true;;Static
"Demala Diviyan Keliya_test_results";"equalNumberOfPiecesOnTheBoard";84;true;;Static
"Demala Diviyan Keliya_test_results";"sizeOfTrack";16;false;"Track concept is not present";Static
"Diviyan Keliya_test_results";"lineLessOrEqualThanBoardSide";26;false;"Line concept is not present";Static
"Diviyan Keliya_test_results";"eachPieceReferenceNotDuplicated";27;true;;Static
"Diviyan Keliya_test_results";"pieceDeclaredAsEach";66;true;;Static
"Diviyan Keliya_test_results";"pieceDeclaredAsShared";26;false;"The game does not have any piece declared as Shared";Static
"Diviyan Keliya_test_results";"pieceDeclaredAsNeutral";22;true;;Static
"Diviyan Keliya_test_results";"playerNotDeclared";24;true;;Static
"Diviyan Keliya_test_results";"equalNumberOfPiecesOnTheBoard";107;true;;Static
"Diviyan Keliya_test_results";"sizeOfTrack";25;false;"Track concept is not present";Static
"El Cazador_test_results";"lineLessOrEqualThanBoardSide";21;false;"Line concept is not present";Static
"El Cazador_test_results";"eachPieceReferenceNotDuplicated";16;true;;Static
