Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Adugo_test_results";"lineLessOrEqualThanBoardSide";1092;false;"Line concept is not present";Static
"Adugo_test_results";"eachPieceReferenceNotDuplicated";76;false;"The game does not have any piece declared as Each";Static
"Adugo_test_results";"pieceDeclaredAsShared";72;false;"The game does not have any piece declared as Shared";Static
"Adugo_test_results";"pieceDeclaredAsNeutral";39;true;;Static
"Adugo_test_results";"pieceDeclaredAsEach";192;false;"The game does not have any piece declared as Each";Static
"Adugo_test_results";"equalNumberOfPiecesOnTheBoard";41;true;;Static
"Adugo_test_results";"AllPlayerDeclared";34;true;;Static
"Adugo_test_results";"sizeOfTrack";35;false;"Track concept is not present";Static
"Asalto_test_results";"lineLessOrEqualThanBoardSide";83;false;"Line concept is not present";Static
"Asalto_test_results";"eachPieceReferenceNotDuplicated";55;false;"The game does not have any piece declared as Each";Static
"Asalto_test_results";"pieceDeclaredAsShared";60;false;"The game does not have any piece declared as Shared";Static
"Asalto_test_results";"pieceDeclaredAsNeutral";45;true;;Static
"Asalto_test_results";"pieceDeclaredAsEach";99;false;"The game does not have any piece declared as Each";Static
"Asalto_test_results";"equalNumberOfPiecesOnTheBoard";50;true;;Static
"Asalto_test_results";"AllPlayerDeclared";50;true;;Static
"Asalto_test_results";"sizeOfTrack";46;false;"Track concept is not present";Static
"Bagh Bandi_test_results";"lineLessOrEqualThanBoardSide";75;false;"Line concept is not present";Static
"Bagh Bandi_test_results";"eachPieceReferenceNotDuplicated";55;false;"The game does not have any piece declared as Each";Static
"Bagh Bandi_test_results";"pieceDeclaredAsShared";54;false;"The game does not have any piece declared as Shared";Static
"Bagh Bandi_test_results";"pieceDeclaredAsNeutral";47;true;;Static
"Bagh Bandi_test_results";"pieceDeclaredAsEach";90;false;"The game does not have any piece declared as Each";Static
"Bagh Bandi_test_results";"equalNumberOfPiecesOnTheBoard";65;true;;Static
"Bagh Bandi_test_results";"AllPlayerDeclared";48;true;;Static
"Bagh Bandi_test_results";"sizeOfTrack";51;false;"Track concept is not present";Static
"Bagh Batti_test_results";"lineLessOrEqualThanBoardSide";47;false;"Line concept is not present";Static
"Bagh Batti_test_results";"eachPieceReferenceNotDuplicated";46;false;"The game does not have any piece declared as Each";Static
"Bagh Batti_test_results";"pieceDeclaredAsShared";41;false;"The game does not have any piece declared as Shared";Static
"Bagh Batti_test_results";"pieceDeclaredAsNeutral";39;true;;Static
"Bagh Batti_test_results";"pieceDeclaredAsEach";81;false;"The game does not have any piece declared as Each";Static
"Bagh Batti_test_results";"equalNumberOfPiecesOnTheBoard";41;true;;Static
"Bagh Batti_test_results";"AllPlayerDeclared";40;true;;Static
"Bagh Batti_test_results";"sizeOfTrack";36;false;"Track concept is not present";Static
"Bagh Guti_test_results";"lineLessOrEqualThanBoardSide";47;false;"Line concept is not present";Static
"Bagh Guti_test_results";"eachPieceReferenceNotDuplicated";39;false;"The game does not have any piece declared as Each";Static
"Bagh Guti_test_results";"pieceDeclaredAsShared";39;false;"The game does not have any piece declared as Shared";Static
"Bagh Guti_test_results";"pieceDeclaredAsNeutral";39;true;;Static
"Bagh Guti_test_results";"pieceDeclaredAsEach";80;false;"The game does not have any piece declared as Each";Static
"Bagh Guti_test_results";"equalNumberOfPiecesOnTheBoard";43;true;;Static
"Bagh Guti_test_results";"AllPlayerDeclared";41;true;;Static
"Bagh Guti_test_results";"sizeOfTrack";38;false;"Track concept is not present";Static
"Bagha Guti_test_results";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static
"Bagha Guti_test_results";"eachPieceReferenceNotDuplicated";26;false;"The game does not have any piece declared as Each";Static
"Bagha Guti_test_results";"pieceDeclaredAsShared";26;false;"The game does not have any piece declared as Shared";Static
"Bagha Guti_test_results";"pieceDeclaredAsNeutral";25;true;;Static
"Bagha Guti_test_results";"pieceDeclaredAsEach";56;false;"The game does not have any piece declared as Each";Static
"Bagha Guti_test_results";"equalNumberOfPiecesOnTheBoard";25;true;;Static
"Bagha Guti_test_results";"AllPlayerDeclared";23;true;;Static
"Bagha Guti_test_results";"sizeOfTrack";22;false;"Track concept is not present";Static
"Baghchal_test_results";"lineLessOrEqualThanBoardSide";20;false;"Line concept is not present";Static
"Baghchal_test_results";"eachPieceReferenceNotDuplicated";20;false;"The game does not have any piece declared as Each";Static
"Baghchal_test_results";"pieceDeclaredAsShared";22;false;"The game does not have any piece declared as Shared";Static
"Baghchal_test_results";"pieceDeclaredAsNeutral";21;true;;Static
"Baghchal_test_results";"pieceDeclaredAsEach";52;false;"The game does not have any piece declared as Each";Static
"Baghchal_test_results";"equalNumberOfPiecesOnTheBoard";21;true;;Static
"Baghchal_test_results";"AllPlayerDeclared";20;true;;Static
"Baghchal_test_results";"sizeOfTrack";19;false;"Track concept is not present";Static
"Bam Blang Beh Khla_test_results";"lineLessOrEqualThanBoardSide";27;false;"Line concept is not present";Static
"Bam Blang Beh Khla_test_results";"eachPieceReferenceNotDuplicated";17;false;"The game does not have any piece declared as Each";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsShared";15;false;"The game does not have any piece declared as Shared";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsNeutral";12;true;;Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsEach";50;false;"The game does not have any piece declared as Each";Static
