Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
"El-Mthaltha";"equalNumberOfPiecesOnTheBoard";13;true;;Static;;;;;;
"El-Mthaltha";"AllPlayerDeclared";13;true;;Static;;;;;;
"El-Mthaltha";"sizeOfTrack";9;false;"Track concept is not present";Static;;;;;;
"Gundru";"lineLessOrEqualThanBoardSide";29;false;"Line concept is not present";Static;;;;;;
"Gundru";"eachPieceReferenceNotDuplicated";33;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gundru";"pieceDeclaredAsEach";69;true;;Static;;;;;;
"Gundru";"pieceDeclaredAsNeutral";32;true;;Static;;;;;;
"Gundru";"pieceDeclaredAsShared";30;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Gundru";"equalNumberOfPiecesOnTheBoard";29;true;;Static;;;;;;
"Gundru";"AllPlayerDeclared";30;true;;Static;;;;;;
"Gundru";"sizeOfTrack";33;false;"Track concept is not present";Static;;;;;;
"HeXentafl";"lineLessOrEqualThanBoardSide";62;false;"Line concept is not present";Static;;;;;;
"HeXentafl";"eachPieceReferenceNotDuplicated";49;false;"The game does not have any piece declared as Each";Static;;;;;;
"HeXentafl";"pieceDeclaredAsEach";85;false;"The game does not have any piece declared as Each";Static;;;;;;
"HeXentafl";"pieceDeclaredAsNeutral";46;true;;Static;;;;;;
"HeXentafl";"pieceDeclaredAsShared";45;false;"The game does not have any piece declared as Shared";Static;;;;;;
"HeXentafl";"equalNumberOfPiecesOnTheBoard";50;false;"Players do not have the same number of pieces";Static;;;;;;
"HeXentafl";"AllPlayerDeclared";44;true;;Static;;;;;;
"HeXentafl";"sizeOfTrack";50;false;"Track concept is not present";Static;;;;;;
"Hnefatafl";"lineLessOrEqualThanBoardSide";57;false;"Line concept is not present";Static;;;;;;
"Hnefatafl";"eachPieceReferenceNotDuplicated";56;false;"The game does not have any piece declared as Each";Static;;;;;;
"Hnefatafl";"pieceDeclaredAsEach";109;false;"The game does not have any piece declared as Each";Static;;;;;;
"Hnefatafl";"pieceDeclaredAsNeutral";60;true;;Static;;;;;;
"Hnefatafl";"pieceDeclaredAsShared";55;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Hnefatafl";"equalNumberOfPiecesOnTheBoard";62;false;"Players do not have the same number of pieces";Static;;;;;;
"Hnefatafl";"AllPlayerDeclared";58;true;;Static;;;;;;
"Hnefatafl";"sizeOfTrack";59;false;"Track concept is not present";Static;;;;;;
"Khamousiyya";"lineLessOrEqualThanBoardSide";75;false;"Line concept is not present";Static;;;;;;
"Khamousiyya";"eachPieceReferenceNotDuplicated";78;false;"The game does not have any piece declared as Each";Static;;;;;;
"Khamousiyya";"pieceDeclaredAsEach";113;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Khamousiyya";"pieceDeclaredAsNeutral";80;true;;Static;;;;;;
"Khamousiyya";"pieceDeclaredAsShared";75;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Khamousiyya";"equalNumberOfPiecesOnTheBoard";75;true;;Static;;;;;;
"Khamousiyya";"AllPlayerDeclared";86;true;;Static;;;;;;
"Khamousiyya";"sizeOfTrack";73;false;"Track concept is not present";Static;;;;;;
"Kharebga (5x5)";"lineLessOrEqualThanBoardSide";33;false;"Line concept is not present";Static;;;;;;
"Kharebga (5x5)";"eachPieceReferenceNotDuplicated";29;false;"The game does not have any piece declared as Each";Static;;;;;;
"Kharebga (5x5)";"pieceDeclaredAsEach";64;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Kharebga (5x5)";"pieceDeclaredAsNeutral";26;true;;Static;;;;;;
"Kharebga (5x5)";"pieceDeclaredAsShared";29;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Kharebga (5x5)";"equalNumberOfPiecesOnTheBoard";29;true;;Static;;;;;;
"Kharebga (5x5)";"AllPlayerDeclared";31;true;;Static;;;;;;
"Kharebga (5x5)";"sizeOfTrack";28;false;"Track concept is not present";Static;;;;;;
"Kharebga (7x7)";"lineLessOrEqualThanBoardSide";35;false;"Line concept is not present";Static;;;;;;
"Kharebga (7x7)";"eachPieceReferenceNotDuplicated";44;false;"The game does not have any piece declared as Each";Static;;;;;;
"Kharebga (7x7)";"pieceDeclaredAsEach";68;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Kharebga (7x7)";"pieceDeclaredAsNeutral";33;true;;Static;;;;;;
"Kharebga (7x7)";"pieceDeclaredAsShared";33;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Kharebga (7x7)";"equalNumberOfPiecesOnTheBoard";50;true;;Static;;;;;;
"Kharebga (7x7)";"AllPlayerDeclared";45;true;;Static;;;;;;
"Kharebga (7x7)";"sizeOfTrack";38;false;"Track concept is not present";Static;;;;;;
"Ludus Latrunculorum";"lineLessOrEqualThanBoardSide";72;false;"Line concept is not present";Static;;;;;;
"Ludus Latrunculorum";"eachPieceReferenceNotDuplicated";54;false;"The game does not have any piece declared as Each";Static;;;;;;
"Ludus Latrunculorum";"pieceDeclaredAsEach";81;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Ludus Latrunculorum";"pieceDeclaredAsNeutral";50;true;;Static;;;;;;
"Ludus Latrunculorum";"pieceDeclaredAsShared";53;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Ludus Latrunculorum";"equalNumberOfPiecesOnTheBoard";47;true;;Static;;;;;;
"Ludus Latrunculorum";"AllPlayerDeclared";51;true;;Static;;;;;;
"Ludus Latrunculorum";"sizeOfTrack";52;false;"Track concept is not present";Static;;;;;;
